schema,group,index,kind,elapsed_ns,generation,outcome
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,0,warmup,539431115,1,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,1,warmup,136195077,2,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,2,warmup,136069269,3,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,3,warmup,135880385,4,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,4,warmup,136073000,5,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,0,sample,135757769,6,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,1,sample,136381500,7,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,2,sample,136118846,8,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,3,sample,141441000,9,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,4,sample,147071808,10,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,5,sample,136374269,11,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,6,sample,144402077,12,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,7,sample,139184769,13,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,8,sample,142077308,14,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,9,sample,143270884,15,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,10,sample,143661577,16,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,11,sample,143044230,17,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,12,sample,141341923,18,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,13,sample,146562654,19,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,14,sample,143704269,20,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,15,sample,143493653,21,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,16,sample,146977847,22,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,17,sample,144109154,23,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,18,sample,144379538,24,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,19,sample,141002616,25,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,0,summary_min,135757769,6,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_max,4,summary_max,147071808,10,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,0,warmup,6318500,26,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,1,warmup,3183615,27,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,2,warmup,1696346,28,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,3,warmup,1628615,29,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,4,warmup,1469039,30,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,0,sample,1253616,31,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,1,sample,1237539,32,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,2,sample,1339231,33,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,3,sample,1238231,34,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,4,sample,1188500,35,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,5,sample,1362193,36,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,6,sample,1248462,37,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,7,sample,1217539,38,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,8,sample,1369000,39,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,9,sample,1203539,40,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,10,sample,1232577,41,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,11,sample,1337961,42,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,12,sample,1270616,43,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,13,sample,1303615,44,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,14,sample,1430077,45,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,15,sample,1319462,46,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,16,sample,1263923,47,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,17,sample,1367269,48,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,18,sample,1279500,49,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,19,sample,1322462,50,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,4,summary_min,1188500,35,written
nene-pixel-p3-autosave-publication-device-v2,candidate_publish_min,14,summary_max,1430077,45,written
