schema,nene-pixel-p3-project-format-host-latency-v1
java_version,21.0.11
java_vm,OpenJDK 64-Bit Server VM
os,Windows 11 10.0 amd64
warmups,5
samples_per_group,20
group,sample,latency_nanos
minimal_encode,0,72000
minimal_encode,1,38700
minimal_encode,2,7900
minimal_encode,3,7000
minimal_encode,4,7100
minimal_encode,5,6700
minimal_encode,6,6600
minimal_encode,7,6500
minimal_encode,8,6500
minimal_encode,9,27100
minimal_encode,10,6800
minimal_encode,11,6300
minimal_encode,12,6600
minimal_encode,13,6600
minimal_encode,14,6600
minimal_encode,15,8300
minimal_encode,16,8300
minimal_encode,17,7300
minimal_encode,18,6500
minimal_encode,19,6400
minimal_decode,0,13800
minimal_decode,1,17900
minimal_decode,2,15100
minimal_decode,3,15300
minimal_decode,4,14600
minimal_decode,5,14700
minimal_decode,6,14600
minimal_decode,7,19900
minimal_decode,8,15200
minimal_decode,9,16500
minimal_decode,10,14600
minimal_decode,11,14900
minimal_decode,12,15200
minimal_decode,13,27900
minimal_decode,14,14900
minimal_decode,15,15000
minimal_decode,16,14700
minimal_decode,17,15000
minimal_decode,18,19900
minimal_decode,19,37400
maximum_encode,0,1599600
maximum_encode,1,1688100
maximum_encode,2,1616400
maximum_encode,3,1893500
maximum_encode,4,1661700
maximum_encode,5,1704700
maximum_encode,6,1606000
maximum_encode,7,1768800
maximum_encode,8,1614600
maximum_encode,9,1610600
maximum_encode,10,1731500
maximum_encode,11,1609900
maximum_encode,12,1695300
maximum_encode,13,1621500
maximum_encode,14,1603100
maximum_encode,15,1669700
maximum_encode,16,1602300
maximum_encode,17,1646200
maximum_encode,18,1618000
maximum_encode,19,1640000
maximum_decode,0,2434600
maximum_decode,1,2281200
maximum_decode,2,2180900
maximum_decode,3,4622900
maximum_decode,4,2180900
maximum_decode,5,2121900
maximum_decode,6,2303700
maximum_decode,7,1959900
maximum_decode,8,1912000
maximum_decode,9,1850400
maximum_decode,10,1835100
maximum_decode,11,1869400
maximum_decode,12,2460300
maximum_decode,13,2127900
maximum_decode,14,1927400
maximum_decode,15,1825700
maximum_decode,16,1900900
maximum_decode,17,1837700
maximum_decode,18,1927600
maximum_decode,19,1893900
summary,minimal_encode,6300,72000
summary,minimal_decode,13800,37400
summary,maximum_encode,1599600,1893500
summary,maximum_decode,1825700,4622900
