schema,nene-pixel-p3-recovery-record-host-latency-v1
java_version,21.0.11
java_vm,OpenJDK 64-Bit Server VM
os,Windows 11 10.0 amd64
warmups,5
samples_per_group,20
group,sample,latency_nanos
retired_encode,0,6800
retired_encode,1,13700
retired_encode,2,11201
retired_encode,3,25201
retired_encode,4,9600
retired_encode,5,9301
retired_encode,6,9099
retired_encode,7,9000
retired_encode,8,9200
retired_encode,9,9101
retired_encode,10,31099
retired_encode,11,9300
retired_encode,12,9800
retired_encode,13,9300
retired_encode,14,9700
retired_encode,15,9799
retired_encode,16,12400
retired_encode,17,9601
retired_encode,18,9500
retired_encode,19,9399
retired_decode,0,2799
retired_decode,1,9900
retired_decode,2,5600
retired_decode,3,15300
retired_decode,4,5599
retired_decode,5,23000
retired_decode,6,7001
retired_decode,7,5199
retired_decode,8,5100
retired_decode,9,5001
retired_decode,10,5001
retired_decode,11,5200
retired_decode,12,5200
retired_decode,13,4900
retired_decode,14,4800
retired_decode,15,4900
retired_decode,16,23000
retired_decode,17,5000
retired_decode,18,5101
retired_decode,19,4900
candidate_encode,0,3821801
candidate_encode,1,5926200
candidate_encode,2,3744299
candidate_encode,3,3646700
candidate_encode,4,3548100
candidate_encode,5,3517201
candidate_encode,6,3531100
candidate_encode,7,3494300
candidate_encode,8,3492800
candidate_encode,9,3475899
candidate_encode,10,3949500
candidate_encode,11,3507399
candidate_encode,12,3655900
candidate_encode,13,3571500
candidate_encode,14,3671400
candidate_encode,15,5344400
candidate_encode,16,3543400
candidate_encode,17,3561100
candidate_encode,18,3779801
candidate_encode,19,3574899
candidate_decode,0,1903900
candidate_decode,1,1880100
candidate_decode,2,1906801
candidate_decode,3,1909100
candidate_decode,4,1915400
candidate_decode,5,1893300
candidate_decode,6,1897800
candidate_decode,7,2046800
candidate_decode,8,2467800
candidate_decode,9,2074001
candidate_decode,10,1917900
candidate_decode,11,1905200
candidate_decode,12,1884899
candidate_decode,13,2106400
candidate_decode,14,2093900
candidate_decode,15,2272300
candidate_decode,16,2220400
candidate_decode,17,2137500
candidate_decode,18,2087999
candidate_decode,19,2128301
retirement_publish,0,2417600
retirement_publish,1,2628300
retirement_publish,2,2416100
retirement_publish,3,2403800
retirement_publish,4,2404900
retirement_publish,5,2341799
retirement_publish,6,2365701
retirement_publish,7,2359999
retirement_publish,8,2499500
retirement_publish,9,3817900
retirement_publish,10,2155101
retirement_publish,11,2081900
retirement_publish,12,2032000
retirement_publish,13,2035300
retirement_publish,14,2284900
retirement_publish,15,2135800
retirement_publish,16,2036800
retirement_publish,17,2065499
retirement_publish,18,2066900
retirement_publish,19,2083601
summary,retired_encode,6800,31099
summary,retired_decode,2799,23000
summary,candidate_encode,3475899,5926200
summary,candidate_decode,1880100,2467800
summary,retirement_publish,2032000,3817900
