schema,palette-json-host-v1
java_version,21.0.11
java_vm,OpenJDK 64-Bit Server VM
os,Windows 11 10.0 amd64
warmups,5
samples_per_group,20
canonical_bytes,96,3146
group,sample,latency_nanos
palette_32,0,3700
palette_32,1,21300
palette_32,2,6700
palette_32,3,5100
palette_32,4,3200
palette_32,5,3700
palette_32,6,3100
palette_32,7,3000
palette_32,8,2800
palette_32,9,2800
palette_32,10,2900
palette_32,11,2800
palette_32,12,3200
palette_32,13,2900
palette_32,14,3100
palette_32,15,7600
palette_32,16,3900
palette_32,17,4900
palette_32,18,3800
palette_32,19,3100
palette_256,0,1900
palette_256,1,4000
palette_256,2,3100
palette_256,3,3200
palette_256,4,2900
palette_256,5,5000
palette_256,6,37800
palette_256,7,3600
palette_256,8,2900
palette_256,9,3100
palette_256,10,10100
palette_256,11,3100
palette_256,12,2800
palette_256,13,2900
palette_256,14,2800
palette_256,15,3000
palette_256,16,10100
palette_256,17,3000
palette_256,18,2800
palette_256,19,2700
encode_2,0,7100
encode_2,1,12200
encode_2,2,11300
encode_2,3,10800
encode_2,4,12600
encode_2,5,11200
encode_2,6,10700
encode_2,7,10600
encode_2,8,10500
encode_2,9,28300
encode_2,10,16800
encode_2,11,16000
encode_2,12,21700
encode_2,13,30800
encode_2,14,11500
encode_2,15,29000
encode_2,16,30500
encode_2,17,31600
encode_2,18,13200
encode_2,19,41000
decode_2,0,38300
decode_2,1,42100
decode_2,2,40500
decode_2,3,65700
decode_2,4,58000
decode_2,5,51400
decode_2,6,41600
decode_2,7,39800
decode_2,8,40100
decode_2,9,38300
decode_2,10,39900
decode_2,11,60400
decode_2,12,39600
decode_2,13,50400
decode_2,14,39700
decode_2,15,38600
decode_2,16,113000
decode_2,17,46100
decode_2,18,110900
decode_2,19,66900
encode_256,0,183800
encode_256,1,190700
encode_256,2,189000
encode_256,3,167000
encode_256,4,161300
encode_256,5,177100
encode_256,6,165300
encode_256,7,186800
encode_256,8,179000
encode_256,9,170100
encode_256,10,170200
encode_256,11,193500
encode_256,12,179900
encode_256,13,172000
encode_256,14,187600
encode_256,15,232200
encode_256,16,845400
encode_256,17,225200
encode_256,18,163300
encode_256,19,171200
decode_256,0,601400
decode_256,1,430400
decode_256,2,434500
decode_256,3,367600
decode_256,4,408100
decode_256,5,413600
decode_256,6,392600
decode_256,7,359100
decode_256,8,358500
decode_256,9,367500
decode_256,10,412100
decode_256,11,360700
decode_256,12,379000
decode_256,13,363200
decode_256,14,478800
decode_256,15,459800
decode_256,16,552400
decode_256,17,544400
decode_256,18,386500
decode_256,19,303800
decode_16k,0,386700
decode_16k,1,486100
decode_16k,2,555500
decode_16k,3,381400
decode_16k,4,435800
decode_16k,5,490900
decode_16k,6,494000
decode_16k,7,371200
decode_16k,8,456400
decode_16k,9,462400
decode_16k,10,418700
decode_16k,11,347100
decode_16k,12,413200
decode_16k,13,310800
decode_16k,14,474700
decode_16k,15,348200
decode_16k,16,441100
decode_16k,17,356900
decode_16k,18,333800
decode_16k,19,248000
summary,palette_32,2800,21300
summary,palette_256,1900,37800
summary,encode_2,7100,41000
summary,decode_2,38300,113000
summary,encode_256,161300,845400
summary,decode_256,303800,601400
summary,decode_16k,248000,555500
