schema,palette-remap-host-v1
java_version,21.0.11
java_vm,OpenJDK 64-Bit Server VM
os,Windows 11 10.0 amd64
warmups,5
samples_per_group,20
group,sample,latency_nanos
number_256,0,84600
number_256,1,338300
number_256,2,245800
number_256,3,160900
number_256,4,185200
number_256,5,200300
number_256,6,200900
number_256,7,211600
number_256,8,241200
number_256,9,961300
number_256,10,214300
number_256,11,205600
number_256,12,129100
number_256,13,139900
number_256,14,130000
number_256,15,122100
number_256,16,87800
number_256,17,91600
number_256,18,78500
number_256,19,82900
nearest_256,0,1164900
nearest_256,1,1108900
nearest_256,2,1128700
nearest_256,3,1115300
nearest_256,4,1138400
nearest_256,5,1116000
nearest_256,6,1127700
nearest_256,7,1095700
nearest_256,8,1158200
nearest_256,9,1313800
nearest_256,10,373400
nearest_256,11,418800
nearest_256,12,490600
nearest_256,13,432500
nearest_256,14,354000
nearest_256,15,501800
nearest_256,16,357700
nearest_256,17,367300
nearest_256,18,352100
nearest_256,19,533400
reorder_256,0,172100
reorder_256,1,194900
reorder_256,2,175300
reorder_256,3,137600
reorder_256,4,191400
reorder_256,5,137700
reorder_256,6,184700
reorder_256,7,170000
reorder_256,8,188900
reorder_256,9,176200
reorder_256,10,146700
reorder_256,11,166400
reorder_256,12,192600
reorder_256,13,155900
reorder_256,14,130400
reorder_256,15,203500
reorder_256,16,169400
reorder_256,17,196500
reorder_256,18,144700
reorder_256,19,169100
remove_256,0,126600
remove_256,1,114600
remove_256,2,112700
remove_256,3,137200
remove_256,4,118800
remove_256,5,115100
remove_256,6,125600
remove_256,7,110700
remove_256,8,108800
remove_256,9,114000
remove_256,10,111400
remove_256,11,134200
remove_256,12,128500
remove_256,13,171300
remove_256,14,162800
remove_256,15,196200
remove_256,16,170600
remove_256,17,150300
remove_256,18,155500
remove_256,19,163000
summary,number_256,78500,961300
summary,nearest_256,352100,1313800
summary,reorder_256,130400,203500
summary,remove_256,108800,196200
